Dans quelle commune l'avez-vous observée ?;Combien d'individus avez-vous vus ?;Quand avez-vous vu ce moineau domestique ?;geo_shape;geo_point_2d;espece;periode
VANVES;1;2025-03-19;"{""coordinates"": [2.2968284089999997, 48.825176639000006], ""type"": ""Point""}";48.825176639000006, 2.2968284089999997;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;3;2025-03-20;"{""coordinates"": [2.2904885140000033, 48.90375504899998], ""type"": ""Point""}";48.90375504899998, 2.2904885140000033;moineau domestique;2e trimestre 2025
MEUDON;1;2025-03-21;"{""coordinates"": [2.220977275999985, 48.795612635], ""type"": ""Point""}";48.795612635, 2.220977275999985;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-03-22;"{""coordinates"": [2.2283381990000066, 48.835068019000005], ""type"": ""Point""}";48.835068019000005, 2.2283381990000066;moineau domestique;2e trimestre 2025
CHAVILLE;1;2025-03-25;"{""coordinates"": [2.1785695629999964, 48.80956121000003], ""type"": ""Point""}";48.80956121000003, 2.1785695629999964;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-03-27;"{""coordinates"": [2.2405045250000057, 48.82999583600002], ""type"": ""Point""}";48.82999583600002, 2.2405045250000057;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;2;2025-03-26;"{""coordinates"": [2.232288003000008, 48.845943723999994], ""type"": ""Point""}";48.845943723999994, 2.232288003000008;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;5;2025-03-28;"{""coordinates"": [2.240222894999988, 48.82942237499998], ""type"": ""Point""}";48.82942237499998, 2.240222894999988;moineau domestique;2e trimestre 2025
VANVES;10;2025-04-05;"{""coordinates"": [2.2868066510000062, 48.82115062399998], ""type"": ""Point""}";48.82115062399998, 2.2868066510000062;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;7;2025-04-06;"{""coordinates"": [2.2701655399999936, 48.82600412900001], ""type"": ""Point""}";48.82600412900001, 2.2701655399999936;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;2;2025-04-09;"{""coordinates"": [2.276721789000021, 48.824336483000025], ""type"": ""Point""}";48.824336483000025, 2.276721789000021;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;3;2025-04-10;"{""coordinates"": [2.2581453980000106, 48.83351079900001], ""type"": ""Point""}";48.83351079900001, 2.2581453980000106;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;2;2025-04-06;"{""coordinates"": [2.239992237000024, 48.82940259100002], ""type"": ""Point""}";48.82940259100002, 2.239992237000024;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;5;2025-04-11;"{""coordinates"": [2.1524324389999947, 48.788988647], ""type"": ""Point""}";48.788988647, 2.1524324389999947;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;6;2025-04-10;"{""coordinates"": [2.25947144700001, 48.83963780900001], ""type"": ""Point""}";48.83963780900001, 2.25947144700001;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;1;2025-04-13;"{""coordinates"": [2.278532106, 48.829634992000024], ""type"": ""Point""}";48.829634992000024, 2.278532106;moineau domestique;2e trimestre 2025
VANVES;3;2025-04-14;"{""coordinates"": [2.2782089940000105, 48.816407019999986], ""type"": ""Point""}";48.816407019999986, 2.2782089940000105;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;6;2025-04-17;"{""coordinates"": [2.2353888769999912, 48.825341691999995], ""type"": ""Point""}";48.825341691999995, 2.2353888769999912;moineau domestique;2e trimestre 2025
VANVES;2;2025-04-23;"{""coordinates"": [2.289854991000027, 48.824149412], ""type"": ""Point""}";48.824149412, 2.289854991000027;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;4;2025-04-26;"{""coordinates"": [2.271424207999985, 48.820902210999975], ""type"": ""Point""}";48.820902210999975, 2.271424207999985;moineau domestique;2e trimestre 2025
CHAVILLE;6;2025-04-27;"{""coordinates"": [2.191726026000026, 48.812193982], ""type"": ""Point""}";48.812193982, 2.191726026000026;moineau domestique;2e trimestre 2025
CHAVILLE;2;2025-04-28;"{""coordinates"": [2.191726026000026, 48.812193982], ""type"": ""Point""}";48.812193982, 2.191726026000026;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;10;2025-04-29;"{""coordinates"": [2.2721990019999794, 48.818532000000005], ""type"": ""Point""}";48.818532000000005, 2.2721990019999794;moineau domestique;2e trimestre 2025
CHAVILLE;1;2025-04-27;"{""coordinates"": [2.1939760810000166, 48.815979889999994], ""type"": ""Point""}";48.815979889999994, 2.1939760810000166;moineau domestique;2e trimestre 2025
VANVES;5;2025-05-01;"{""coordinates"": [2.289634772999989, 48.822416944999986], ""type"": ""Point""}";48.822416944999986, 2.289634772999989;moineau domestique;2e trimestre 2025
CHAVILLE;2;2025-05-05;"{""coordinates"": [2.1871634920000247, 48.81211121199999], ""type"": ""Point""}";48.81211121199999, 2.1871634920000247;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;2;2025-05-10;"{""coordinates"": [2.276518545999977, 48.82891630300003], ""type"": ""Point""}";48.82891630300003, 2.276518545999977;moineau domestique;2e trimestre 2025
MEUDON;1;2025-05-15;"{""coordinates"": [2.2464282110000227, 48.818265010999994], ""type"": ""Point""}";48.818265010999994, 2.2464282110000227;moineau domestique;2e trimestre 2025
CHAVILLE;2;1925-05-20;"{""coordinates"": [2.1953700000000254, 48.81691999999998], ""type"": ""Point""}";48.81691999999998, 2.1953700000000254;moineau domestique;2e trimestre 2025
MEUDON;2;2025-05-23;"{""coordinates"": [2.2370961959999818, 48.80737895599998], ""type"": ""Point""}";48.80737895599998, 2.2370961959999818;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;2;2025-05-17;"{""coordinates"": [2.2637460209999745, 48.81645400000002], ""type"": ""Point""}";48.81645400000002, 2.2637460209999745;moineau domestique;2e trimestre 2025
VANVES;6;2025-05-24;"{""coordinates"": [2.2967383659999996, 48.82526118800001], ""type"": ""Point""}";48.82526118800001, 2.2967383659999996;moineau domestique;2e trimestre 2025
CHAVILLE;5;2025-05-18;"{""coordinates"": [2.1868047269999806, 48.79952396800002], ""type"": ""Point""}";48.79952396800002, 2.1868047269999806;moineau domestique;2e trimestre 2025
VANVES;5;2025-02-19;"{""coordinates"": [2.285126494999986, 48.82191570200001], ""type"": ""Point""}";48.82191570200001, 2.285126494999986;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;2;2025-02-27;"{""coordinates"": [2.2525773730000083, 48.79752495600002], ""type"": ""Point""}";48.79752495600002, 2.2525773730000083;moineau domestique;2e trimestre 2025
CHAVILLE;4;2025-03-03;"{""coordinates"": [2.1955050070000084, 48.81377401200001], ""type"": ""Point""}";48.81377401200001, 2.1955050070000084;moineau domestique;2e trimestre 2025
VILLE D'AVRAY;1;2025-03-07;"{""coordinates"": [2.188163046999989, 48.82368148500001], ""type"": ""Point""}";48.82368148500001, 2.188163046999989;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-03-11;"{""coordinates"": [2.234690009000019, 48.82669582800003], ""type"": ""Point""}";48.82669582800003, 2.234690009000019;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;4;2025-03-19;"{""coordinates"": [2.227806305999991, 48.83421879500003], ""type"": ""Point""}";48.83421879500003, 2.227806305999991;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;10;2025-03-21;"{""coordinates"": [2.2400454250000053, 48.829659721999974], ""type"": ""Point""}";48.829659721999974, 2.2400454250000053;moineau domestique;2e trimestre 2025
MEUDON;5;2025-03-21;"{""coordinates"": [2.2218248539999763, 48.79525218700002], ""type"": ""Point""}";48.79525218700002, 2.2218248539999763;moineau domestique;2e trimestre 2025
MEUDON;4;2025-04-04;"{""coordinates"": [2.2404920230000016, 48.805186548999984], ""type"": ""Point""}";48.805186548999984, 2.2404920230000016;moineau domestique;2e trimestre 2025
VILLE D'AVRAY;2;2025-04-08;"{""coordinates"": [2.1971978149999813, 48.826022525999974], ""type"": ""Point""}";48.826022525999974, 2.1971978149999813;moineau domestique;2e trimestre 2025
VANVES;2;2025-04-09;"{""coordinates"": [2.289621506000003, 48.822944673999984], ""type"": ""Point""}";48.822944673999984, 2.289621506000003;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;1;2025-04-09;"{""coordinates"": [2.256216251000012, 48.82652340499999], ""type"": ""Point""}";48.82652340499999, 2.256216251000012;moineau domestique;2e trimestre 2025
CHAVILLE;2;2025-03-20;"{""coordinates"": [2.1887132869999846, 48.80641023499999], ""type"": ""Point""}";48.80641023499999, 2.1887132869999846;moineau domestique;2e trimestre 2025
VANVES;1;2025-04-14;"{""coordinates"": [2.289531604999979, 48.82218843499999], ""type"": ""Point""}";48.82218843499999, 2.289531604999979;moineau domestique;2e trimestre 2025
SEVRES;2;2025-04-17;"{""coordinates"": [2.211490973000025, 48.814412000999994], ""type"": ""Point""}";48.814412000999994, 2.211490973000025;moineau domestique;2e trimestre 2025
CHAVILLE;5;2025-04-13;"{""coordinates"": [2.1953693070000213, 48.816782665000005], ""type"": ""Point""}";48.816782665000005, 2.1953693070000213;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;4;2025-04-19;"{""coordinates"": [2.2669274570000084, 48.816265937000026], ""type"": ""Point""}";48.816265937000026, 2.2669274570000084;moineau domestique;2e trimestre 2025
VANVES;3;2025-04-04;"{""coordinates"": [2.280614474999993, 48.825908389000006], ""type"": ""Point""}";48.825908389000006, 2.280614474999993;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;10;2025-04-20;"{""coordinates"": [2.2701161809999917, 48.826039166999976], ""type"": ""Point""}";48.826039166999976, 2.2701161809999917;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-04-26;"{""coordinates"": [2.2413795800000003, 48.82980471500002], ""type"": ""Point""}";48.82980471500002, 2.2413795800000003;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;1;2025-04-26;"{""coordinates"": [2.2699062249999997, 48.81694797099999], ""type"": ""Point""}";48.81694797099999, 2.2699062249999997;moineau domestique;2e trimestre 2025
MEUDON;5;2025-04-27;"{""coordinates"": [2.244930344000011, 48.816636889999984], ""type"": ""Point""}";48.816636889999984, 2.244930344000011;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;2;2025-05-02;"{""coordinates"": [2.2431681969999886, 48.82073082900001], ""type"": ""Point""}";48.82073082900001, 2.2431681969999886;moineau domestique;2e trimestre 2025
VILLE D'AVRAY;2;2025-05-01;"{""coordinates"": [2.190932762999978, 48.827193009999974], ""type"": ""Point""}";48.827193009999974, 2.190932762999978;moineau domestique;2e trimestre 2025
VANVES;1;2025-05-04;"{""coordinates"": [2.2870195149999972, 48.81720551000001], ""type"": ""Point""}";48.81720551000001, 2.2870195149999972;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;2;2025-05-09;"{""coordinates"": [2.282504215000017, 48.830215098], ""type"": ""Point""}";48.830215098, 2.282504215000017;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;1;2025-05-10;"{""coordinates"": [2.264224039999988, 48.82176100200002], ""type"": ""Point""}";48.82176100200002, 2.264224039999988;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;12;2025-05-20;"{""coordinates"": [2.2665408820000152, 48.81699357000002], ""type"": ""Point""}";48.81699357000002, 2.2665408820000152;moineau domestique;2e trimestre 2025
VANVES;1;2025-05-23;"{""coordinates"": [2.2902905889999943, 48.82423015699999], ""type"": ""Point""}";48.82423015699999, 2.2902905889999943;moineau domestique;2e trimestre 2025
ISSY-LES-MOULINEAUX;10;2025-05-16;"{""coordinates"": [2.2572229319999906, 48.826843037], ""type"": ""Point""}";48.826843037, 2.2572229319999906;moineau domestique;2e trimestre 2025
SEVRES;1;2025-06-01;"{""coordinates"": [2.2051399999999717, 48.81909000000002], ""type"": ""Point""}";48.81909000000002, 2.2051399999999717;moineau domestique;2e trimestre 2025
SEVRES;2;2025-03-06;"{""coordinates"": [2.212134161999984, 48.82195560700001], ""type"": ""Point""}";48.82195560700001, 2.212134161999984;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-03-10;"{""coordinates"": [2.242021405999992, 48.829580222000004], ""type"": ""Point""}";48.829580222000004, 2.242021405999992;moineau domestique;2e trimestre 2025
CHAVILLE;2;2025-03-17;"{""coordinates"": [2.182533709999973, 48.81214753900002], ""type"": ""Point""}";48.81214753900002, 2.182533709999973;moineau domestique;2e trimestre 2025
VILLE D'AVRAY;3;2025-03-26;"{""coordinates"": [2.1454951819999906, 48.793294742], ""type"": ""Point""}";48.793294742, 2.1454951819999906;moineau domestique;2e trimestre 2025
CHAVILLE;2;2025-04-06;"{""coordinates"": [2.189282698999989, 48.806592126], ""type"": ""Point""}";48.806592126, 2.189282698999989;moineau domestique;2e trimestre 2025
VILLE D'AVRAY;1;2025-04-07;"{""coordinates"": [2.1881191809999905, 48.82467760200001], ""type"": ""Point""}";48.82467760200001, 2.1881191809999905;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;2;2025-04-09;"{""coordinates"": [2.2436863539999763, 48.84503467799999], ""type"": ""Point""}";48.84503467799999, 2.2436863539999763;moineau domestique;2e trimestre 2025
CHAVILLE;1;2025-04-12;"{""coordinates"": [2.183029925000028, 48.807343936999985], ""type"": ""Point""}";48.807343936999985, 2.183029925000028;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;2;2025-04-11;"{""coordinates"": [2.2402118159999986, 48.84061488100002], ""type"": ""Point""}";48.84061488100002, 2.2402118159999986;moineau domestique;2e trimestre 2025
VANVES;1;2025-04-09;"{""coordinates"": [2.2911791870000116, 48.81841787600001], ""type"": ""Point""}";48.81841787600001, 2.2911791870000116;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-04-15;"{""coordinates"": [2.2379269929999737, 48.840026007000006], ""type"": ""Point""}";48.840026007000006, 2.2379269929999737;moineau domestique;2e trimestre 2025
BOULOGNE-BILLANCOURT;1;2025-04-19;"{""coordinates"": [2.234068394000019, 48.826849373000016], ""type"": ""Point""}";48.826849373000016, 2.234068394000019;moineau domestique;2e trimestre 2025
CHAVILLE;3;2025-04-21;"{""coordinates"": [2.19133442399999, 48.812246098], ""type"": ""Point""}";48.812246098, 2.19133442399999;moineau domestique;2e trimestre 2025
